id,Year,Author,Title
136,2012,"James,EL",FiftyShadesFreed
137,2012,"Kingsolver,Barbara",FlightBehavior
138,2012,"Landay,William",DefendingJacob
139,2012,"Lyons,CJ",BlindFaith
140,2012,"McLain,Paula",TheParisWife
141,2012,"Patterson,James",11thHour
142,2012,"Patterson,James",GuiltyWives
143,2012,"Patterson,James",PrivateGames
144,2012,"Picoult,Jodi",LoneWolf
145,2012,"Roberts,Nora",PerfectHope
146,2012,"Roberts,Nora",PerfectHope
147,2012,"Roberts,Nora",TheWitness
148,2012,"Rowling,JK",TheCasualVacancy
149,2012,"Sandford,John",MadRiver
150,2012,"Semple,Maria",WheredYouGoBernadette
151,2012,"Sorensen,Jessica",CoincidenceofCallie
152,2012,"Stedman,ML",LightBetweenOceans
153,2012,"Walter,Jess",BeautifulRuins
154,2013,"Albom,Mitch",FirstPhoneCall
155,2013,"Atkinson,Kate",LifeAfterLife
156,2013,"Baldacci,David",KingandMaxwell
157,2013,"Baldacci,David",TheHit
158,2013,"Brown,Dan",Inferno
159,2013,"Child,Lee",HighHeat
160,2013,"Child,Lee",NeverGoBack
161,2013,"Clancy,Tom",CommandAuthority
162,2013,"Clark,MaryHiggins",DaddysGone
163,2013,"Connelly,Michael",GodsofGuilt
164,2013,"Day,Sylvia",EntwinedwithYou
165,2013,"Evanovich,Janet",TakedownTwenty
166,2013,"Galbraith,Robert",TheCuckoosCalling
167,2013,"Grisham,John",SycamoreRow
168,2013,"Harris,Charlaine",DeadEverAfter
169,2013,"Hosseini,Khaled",AndtheMountainsEchoed
170,2013,"Jordan,Robert",AMemoryofLight
171,2013,"King,Stephen",Joyland
172,2013,"Kline,ChristinaBaker",OrphanTrain
173,2013,"Lynn,J",WaitForYou
174,2013,"Moriarty,Liane",TheHusbandsSecret
175,2013,"Munro,Alice",DearLife
176,2013,"Patterson,James",12thofNever
177,2013,"Patterson,James",AlexCrossRun
178,2013,"Patterson,James",Mistress
179,2013,"Patterson,James",PrivateBerlin
180,2013,"Patterson,James",SecondHoneymoon
181,2013,"Patterson,James",Zoo
182,2013,"Picoult,Jodi",TheStoryteller
183,2013,"Roberts,Nora",DarkWitch
184,2013,"Roberts,Nora",LastBoyfriend
185,2013,"Roberts,Nora",WhiskeyBeach
186,2013,"Saunders,George",TenthOfDecember
187,2013,"Silva,Daniel",EnglishGirl
188,2013,"Sparks,Nicholas",TheLongestRide
189,2013,"Tartt,Donna",The Goldfinch
190,2014,"Baldacci,David",Target
191,2014,"Clark,MaryHiggins",IveGotYouUnder
192,2014,"Coben,Harlan",MissingYou
193,2014,"Coben,Harlan",SixYears
194,2014,"Kidd,SueMonk",TheInventionofWings
195,2014,"Paige,Laurelin",TheFixedTrilogy
196,2014,"Patterson,James",NYPDRed2
197,2014,"Patterson,James",Private1Suspect
198,2014,"Patterson,James",PrivateLA
199,2014,"Roberts,Nora",ShadowSpell
200,2014,"Roberts,Nora",TheCollector
201,2002,"Baker,Jo",Offcomer
202,2010,"Grodstein,Lauren",AFriendoftheFamily
203,2011,"Stevens,Taylor",TheInformationist
204,2012,"Erlings,Fridrik",BoyontheEdge
205,2012,"Harbach,Chad",TheArtofFielding
206,2012,"Redekop,Corey",Husk
207,2012,"Stedman,ML",TheLightBetweenOceans
208,2012,"Swan,Susan",TheWesternLight
209,2013,"Atwood,Margaret",MaddAddam
210,2013,"Baker,Kevin",TheBigCrowd
