id	Year	Author	Title	Corpus
115	2012	"Baldacci,David"	TheInnocent	BS
116	2012	"Binchy,Maeve"	AWeekinWinter	BS
117	2012	"Child,Lee"	AWantedMan	BS
118	2012	"Clancy,Tom"	ThreatVector	BS
119	2012	"Connelly,Michael"	TheBlackBox	BS
120	2012	"Day,Sylvia"	BaredtoYou	BS
121	2012	"Day,Sylvia"	ReflectedinYou	BS
122	2012	"DeMille,Nelson"	ThePanther	BS
123	2012	"Evanovich,Janet"	NotoriousNineteen	BS
124	2012	"Evanovich,Janet"	WickedBusiness	BS
125	2012	"Flynn,Gillian"	GoneGirl	BS
126	2012	"Flynn,Vince"	KillShot	BS
127	2012	"Flynn,Vince"	TheLastMan	BS
128	2012	"Follett,Ken"	WinteroftheWorld	BS
129	2012	"Giffin,Emily"	WhereWeBelong	BS
130	2012	"Grisham,John"	CalicoJoe	BS
131	2012	"Grisham,John"	TheConfession	BS
132	2012	"Grisham,John"	TheRacketeer	BS
133	2012	"Harris,Charlaine"	Deadlocked	BS
134	2012	"Hoover,Colleen"	Hopeless	BS
135	2012	"James,EL"	FiftyShadesDarker	BS
136	2012	"James,EL"	FiftyShadesFreed	BS
137	2012	"Kingsolver,Barbara"	FlightBehavior	BS
138	2012	"Landay,William"	DefendingJacob	BS
139	2012	"Lyons,CJ"	BlindFaith	BS
140	2012	"McLain,Paula"	TheParisWife	BS
141	2012	"Patterson,James"	11thHour	BS
142	2012	"Patterson,James"	GuiltyWives	BS
143	2012	"Patterson,James"	PrivateGames	BS
144	2012	"Picoult,Jodi"	LoneWolf	BS
145	2012	"Roberts,Nora"	PerfectHope	BS
146	2012	"Roberts,Nora"	PerfectHope	BS
147	2012	"Roberts,Nora"	TheWitness	BS
148	2012	"Rowling,JK"	TheCasualVacancy	BS
149	2012	"Sandford,John"	MadRiver	BS
150	2012	"Semple,Maria"	WheredYouGoBernadette	BS
151	2012	"Sorensen,Jessica"	CoincidenceofCallie	BS
152	2012	"Stedman,ML"	LightBetweenOceans	BS
153	2012	"Walter,Jess"	BeautifulRuins	BS
154	2013	"Albom,Mitch"	FirstPhoneCall	BS
155	2013	"Atkinson,Kate"	LifeAfterLife	BS
156	2013	"Baldacci,David"	KingandMaxwell	BS
157	2013	"Baldacci,David"	TheHit	BS
158	2013	"Brown,Dan"	Inferno	BS
159	2013	"Child,Lee"	HighHeat	BS
160	2013	"Child,Lee"	NeverGoBack	BS
161	2013	"Clancy,Tom"	CommandAuthority	BS
162	2013	"Clark,MaryHiggins"	DaddysGone	BS
163	2013	"Connelly,Michael"	GodsofGuilt	BS
164	2013	"Day,Sylvia"	EntwinedwithYou	BS
165	2013	"Evanovich,Janet"	TakedownTwenty	BS
166	2013	"Galbraith,Robert"	TheCuckoosCalling	BS
167	2013	"Grisham,John"	SycamoreRow	BS
168	2013	"Harris,Charlaine"	DeadEverAfter	BS
169	2013	"Hosseini,Khaled"	AndtheMountainsEchoed	BS
170	2013	"Jordan,Robert"	AMemoryofLight	BS
171	2013	"King,Stephen"	Joyland	BS
172	2013	"Kline,ChristinaBaker"	OrphanTrain	BS
173	2013	"Lynn,J"	WaitForYou	BS
174	2013	"Moriarty,Liane"	TheHusbandsSecret	BS
175	2013	"Munro,Alice"	DearLife	BS
176	2013	"Patterson,James"	12thofNever	BS
177	2013	"Patterson,James"	AlexCrossRun	BS
178	2013	"Patterson,James"	Mistress	BS
179	2013	"Patterson,James"	PrivateBerlin	BS
180	2013	"Patterson,James"	SecondHoneymoon	BS
181	2013	"Patterson,James"	Zoo	BS
182	2013	"Picoult,Jodi"	TheStoryteller	BS
183	2013	"Roberts,Nora"	DarkWitch	BS
184	2013	"Roberts,Nora"	LastBoyfriend	BS
185	2013	"Roberts,Nora"	WhiskeyBeach	BS
186	2013	"Saunders,George"	TenthOfDecember	BS
187	2013	"Silva,Daniel"	EnglishGirl	BS
188	2013	"Sparks,Nicholas"	TheLongestRide	BS
189	2013	"Tartt,Donna"	The Goldfinch	BS
190	2014	"Baldacci,David"	Target	BS
